X	Y	Z	Elem1	Elem2
40
8 
1
0.0	0.0	0.0	0.0	0.0
0.0	0.0	-8.0	70.0	10.0
0.0	0.0	-10.0	80.0	20.0
0.0	0.0	-12.0	90.0	40.0
0.0	0.0	-14.0	80.0	30.0
0.0	0.0	-16.0	50.0	20.0
0.0	0.0	-18.0	00.0	10.0
0.0	0.0	-20.0	00.0	0.0
2
4.0	0.0	0.0	0.0	17.0
4.0	0.0	-8.0	75.0	20.0
4.0	0.0	-10.0	80.0	23.0
4.0	0.0	-12.0	85.0	26.0
4.0	0.0	-14.0	90.0	29.0
4.0	0.0	-16.0	85.0	26.0
4.0	0.0	-18.0	80.0	23.0
4.0	0.0	-20.0	75.0	20.0
3
8.0	0.0	0.0	50.0	6.0
8.0	0.0	-8.0	60.0	8.0
8.0	0.0	-10.0	65.0	10.0
8.0	0.0	-12.0	70.0	12.0
8.0	0.0	-14.0	75.0	14.0
8.0	0.0	-16.0	80.0	16.0
8.0	0.0	-18.0	75.0	18.0
8.0	0.0	-20.0	70.0	20.0
4
16.0	0.0	0.0	40.0	0.0
16.0	0.0	-8.0	45.0	17.0
16.0	0.0	-10.0	50.0	15.0
16.0	0.0	-12.0	55.0	13.0
16.0	0.0	-14.0	60.0	11.0
16.0	0.0	-16.0	65.0	9.0
16.0	0.0	-18.0	70.0	7.0
16.0	0.0	-20.0	65.0	9.0
5
24.0	0.0	0.0	0.0	0.0
24.0	0.0	-8.0	0.0	0.0
24.0	0.0	-10.0	0.0	0.0
24.0	0.0	-12.0	0.0	0.0
24.0	0.0	-14.0	0.0	0.0
24.0	0.0	-16.0	0.0	0.0
24.0	0.0	-18.0	0.0	0.0
24.0	0.0	-20.0	0.0	0.0
6
32.0	0.0	0.0	0.0	0.0
32.0	0.0	-8.0	0.0	0.0
32.0	0.0	-10.0	0.0	0.0
32.0	0.0	-12.0	0.0	0.0
32.0	0.0	-14.0	0.0	0.0
32.0	0.0	-16.0	0.0	0.0
32.0	0.0	-18.0	0.0	0.0
32.0	0.0	-20.0	0.0	0.0
7
0.0	2.0	0.0	0.0	0.0
0.0	2.0	-8.0	80.0	25.0
